Food Item,Serving size,Oxalate Value
flaxseed,1 Tbs,0mg
flounder,3 oz,0mg
french fries,4 oz,51mg
french fries (homemade or fast food),4 oz or 1/2 cup,51mg
french toast,2 slices,13mg
froot loops,1 cup,2mg
frosted cheerios,1 cup,6mg
frosted flakes,3/4 cup,1mg
frosted mini-wheats,1 cup,28mg
frozen fish sticks,2 sticks,3mg
frozen yogurt,1/2 cup,1mg
"fruit & fiber dates, raisins & walnuts",1 cup,41mg
fruit cocktail,1/2 cup,1mg
fruit roll-ups,1 roll,2mg
fruity pebbles,3/4 cup,2mg
fudge sauce,2 Tbs,28mg
fudge sauce,2 Tbs,28mg
garlic powder,1 tsp,0mg
gatorade,1 cup,0mg
gelatin,1 tbs or 1 envelope,0mg
golden grahams,3/4 cup,9mg
graham crackers,1 large rectangle,2mg
granola bars low fat,1 oz uncoated,2mg
granola bars- hard & plain,1 bar,1mg
grape juice,8 oz,1mg
grape nuts,1/2 cup,14mg
grape nuts flakes,3/4 cup,7mg
grapefruit,1/2 fruit,12mg
grapefruit juice,8 oz,0mg
grapes,1/2 cup or 16 seedless grapes,1mg
gravy,1 cup,4mg
great grains crunch pecan,2/3 cup,18mg
"great grains raisin, dates & pecans",2/3 cup,17mg
green pepper,1/2 Cup,5mg
grilled cheese sandwich,1 sandwich,12mg
ground beef,3 oz,0mg
haddock,3 oz,0mg
halibut,3 oz,0mg
ham,3 oz,0mg
harmony,1 1/4 cup,11mg
healthy choice multi-grain flakes,3/4 cup,7mg
healthy valley oat bran flakes,1 cup,0mg
herring (atlantic & pacific),3 oz,1mg
homemade cream sauce,1 cup,3mg
honey,1 tbs,0mg
honey bunches of oats honey roasted,3/4 cup,3mg
honey bunches of oats with almonds,3/4 cup,2mg
honey crunch corn flakes,3/4 cup,3mg
honey nut cheerios,1 cup,7mg
honey nut clusters,1 cup,23mg
honey nut oats,1 oz,7mg
honeycomb,1 1/3 cup,1mg
honeydew melon,1 cup,1mg
horseradish,1 Tbs,0mg
hot chili peppers,1/2 cup,5mg
hot chocolate (homemade),1 cup,65mg
hot dog with bun,1 dog with bun,9mg
hot dogs,1 dog,1mg
hummus,1 Tbs,4mg
ice cream (vanilla),1/2 cup,0mg
ice cream light,1/2 cup,0mg
iceberg lettuce,1 cup,0mg
italian salad dressing,1 Tbs,0mg
jam/jelly,1 Tbs,1mg
jello,1 cup,1mg
just right fruit & nut,1 cup,13mg
just right with crunchy nuggets,1 cup,5mg
kale,1 cup chopped,2mg
kashi go lean,3/4 cup,14mg
kashi go lean bar,1 bar,3mg
kashi good friends,3/4 cup,10mg
kashi heart to heart,3/4 cup,8mg
kiwi,1 fruit,16mg
kix,1 1/3 cup,2mg
kool-aid,1 cup,1mg
lard,1 tsp,0mg
lasagna,1 serving,23mg
lasagna with meat,1 serving,23mg
lean hamburg (75%),3 oz,0mg
lean hamburg (85%),3 oz,0mg
lean hamburg (90%),3 oz,1mg
lemon juice (canned or bottled),1 cup,4mg
lemon juice raw (concentrate),1 tbs,0mg
lemonade (diet),8 oz,1mg
lemonade (frozen from concentrate),8 oz,15mg
lemons,1 wedge,1mg
lentil soup,1 cup,39mg
limes,1/2 fruit,3mg
liquor (80 proof),1 jigger,0mg
liver,3.5oz,0mg
low fat 100% natural granola with raisins,3/4 cup,15mg
low fat cheese,1 slice,0mg
low fat cottage cheese,1 cup,0mg
low fat cream cheese,1 oz,1mg
low fat granola with raisins,2/3 cup,16mg
low fat muffins,1 muffin,5mg
lowfat frozen yogurt,1/2 cup,1mg
lucky charms,1 cup,5mg
macaroni & cheese,1 cup,4mg
mackeral,3 oz,0mg
mango,1 fruit,1mg
mango juice,8 oz,1mg
mashed potatoes,1 cup,29mg
mayonnaise,1 Tbs,0mg
meatballs,2 meatballs,2mg
milk chocolate candies,1 oz,5mg
"millet, cooked",1 cup,62mg
miso,1 cup,40mg
miso,1 cup,40mg
miso soup,1 cup,111mg
mixed nuts (with peanuts),1 oz,39mg
"mixed vegetables, frozen",1/2 cup,5mg
molasses,1 tbs,0mg
moose,3oz,0mg
mozzarella cheese,1 oz,0mg
mueslix,2/3 cup,17mg
mueslix apple & almond crunch,2/3 cup,20mg
muffins low fat,1 muffin,5mg
multi-bran chex,1 cup,36mg
mung beans,1/2 cup,8mg
mushroons,1 mushroom,0mg
mustard greens,1 cup chopped,4mg
"mustard, yellow",1 tsp or packet,1mg
nabisco honey nut shredded wheat bite size,1 cup,47mg
nabisco shredded wheat,2 biscuits,42mg
nachos with cheese,6-8 chips,13mg
nature valley cinnimon & raisins granola,3/4 cup,13mg
navy beans,1/2 cup,76mg
nectarine,1 fruit,0mg
non fat ice cream,1/2 cup,0mg
non fat yogurt with fruit,8 oz,1mg
non-dairy creamer,1 Tbs,0mg
oaker oat cinnamon life,3/4 cup,3mg
oat bran,1 1/4 cup,10mg
oat bran bread,1 slice,4mg
oat bran muffin,1 small muffin,4mg
"oat bran, raw",1/3 cup,0mg
oat flour,1 cup,0mg
oatmeal bread,1 piece,4mg
oatmeal cereal,1 cup,0mg
oatmeal cookie (homemade),1 cookie,2mg
oatmeal cookies (store),1 cookie,4mg
oatmeal crisp with almonds,1 cup,24mg
oatmeal raisin crisp,1 cup,13mg
oatmeal squares,1 cup,5mg
okra,1/2 cup,57mg
olive oil & vinegar,,2mg
olives,approx 10 olives,18mg
onion rings,6-8 rings,5mg
onions,1 small onion,0mg
orange,1 fruit,29mg
orange juice,1 cup,2mg
"oriental vegetables, frozen",1/2 cup,6mg
original shredded wheat & bran,1 1/4 cup,53mg
oysters,3 oz,0mg
pancake syrup,3/4 Tbs,0mg
pancakes (dry mix),4 pancakes,37mg
pancakes (homemade),4 cakes,11mg
pancakes (homemade),4 pancakes,22mg
pancakes (mix),4 cakes,10mg
papaya,1 medium fruit,1mg
parsnip,1/2 cup,15mg
peaches,1 fruit,0mg
peanut butter,1 Tbs,13mg
peanut butter reduced fat,1 Tbs,16mg
peanuts,1 oz,27mg
pears,1 fruit,2mg
peas,1/2 cup,1mg
pecans,1 oz or 15 halves,10mg
pickles,1 pickle,0mg
pies (homemade),1 piece or 1/8th of pie,5mg
pineapple,1 cup,4mg
pineapple juice,8 oz,3mg
pistachios,1 oz or 48 kernels,14mg
pizza with cheese,2 slices,13mg
plain bagel,1 bagel,9 mg
plain yogurt,1 cup,2mg
plaintain,1 medium,1mg
plums,1 fruit,0mg
pollock,3 oz,0mg
"popcorn, air-popped",1 cup,4mg
"popcorn, oil-popped",1 cup,5mg
popsicle,1 stick,0mg
poptart,1 tart,7mg
pork,5 oz,0mg
postum (coffee substitute),1 serving,2mg
potato chips,1 oz,21mg
potato salad,1/3 cup,17mg
powdered milk,1 envelope,3mg
powered milk,1 envelope,3mg
"pretzels, hard & salted",1 oz,5mg
product 19,1 cup,1mg
prune juice,1 cup,7mg
pudding popsicle,1 pop,5mg
puffed kashi,1 cup,13mg
puffed rice,1 cup,2mg
puffed wheat,1 1/4 cup,9mg
pumpkin seeds,"1 cup, cooked",17mg
quaker oat life,3/4 cup,3mg
radish,10 count,0mg
raisin bran,1 cup,46mg
raisin bran crunch,1 cup,27mg
raisin nut bran,1 cup,24mg
raisin squares mini-wheats,3/4 cup,41mg
raisins,1 oz or 1 small snack box,3mg
raspberries,1 cup,48mg
red kidney beans,1/2 cup,15mg
red river cereal,1/4 cup,13mg
red wine,4 oz,1mg
